"광고,에셋이름",url,원본 url / ID
잠옷 콘텐츠조회1,https://www.facebook.com/ads/image/?d=AQKYQy7jkRE1_yt_D_cIqe0vP5JIdo-MgPsGMid5FIDwlWcz9rI1G8i7Ky1M1YswLJoISCaC2JW0S1wsKgdMmOX70mKFareY8-x3Yzl9klBQNDX7wz0gfiMT-v3IESLdxRbnA0sW0zinxKXTLi1v9AJY,-
잠옷 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQJgL3WZvPGDbO-Kii8aBvSF77JagdFd27iwYrB-xnf9PsoUZo0muhK_xAo1k3lOICwsz6yb8mp7gCuSKAGWp2scgLaQ9Q_3SdnWhIrIzudOJJA7RLx39ydqAF7qBVCRcK_EU9gsRZUZjIKgjIKnhIzM,-
잠옷 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQK7aiQRNOeiJYIT7DCICpVqLdxYzZSmcuMX1zzO_6Qnc7tqCu3GKzd4GUzW3Qhq9URZNQHEHCwX8wQviRFm2i25HK_S7COa3s1HQHwCJ45J1OGr3W_Zm5wUMSHIPM0Atc-Q0MPQbuuFFhjhVPcExK0U,-
잠옷 콘텐츠조회2,https://www.facebook.com/ads/image/?d=AQL2N5SELxzaKFE3mmGe3MoqdToM7gXOvL2vpYnQoHrSzf0vbvw6gWfQlC9kWZHuST3EFUCiBhckvMPYW3zuillJb47ONzNJNDz_Hi7FnPHpN_Gd9-qRDiQ36d1Cd-EkngyaYWUSjRJ4ycuyyYRu8S6c,-
잠옷 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQI8XcSp4CkHKYql8c5zoBzYeOyhSoViRJKVfWPYr3gl2u3oCQN5gETV2hrvbkUdMWInRVoctVSAs6vVM81-S-Tcow3Yrbd-9wKqvgErcgebsE2WT9gySs2tT6h_yspizGXbKENAZlZcUCZ5cA9t0SAq,-
잠옷 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQJL5JH0atWuxOAHXk6TinfPLEf1Pv6yCOOrssyFPzEtToTSyZAdgQCPveRxzq7wnF83XhHyP-94AoB30ysqDASN8Rqi7G6Y6pp5R0bd0pIcz7Qe3j9iELTNRRPaWQdBf5k7Nh_rZnFAshrs3NfKJrTj,-
잠옷 콘텐츠조회3,https://www.facebook.com/ads/image/?d=AQLwZc5uPKaloXEd36c71FX5Kg6U4VELV-nbUQlrjWFp4HbfsVwkhne17A3fziNukDc5yfwDFbnzfcDdo7UkVmmcgPhPv25NLjBm-VMSmCdDjQqpndx9Ewl3NoJHskUoEsZQVtkjEKFLq4rpJj8LhU0d,-
잠옷 콘텐츠조회4,https://www.facebook.com/ads/image/?d=AQIG4kKw1P_x5Sre4PFVA2z8XzrvYy41VLo7l33SmAi1duABSAMc4ebweoIRejqEdPNWJ2pRgLWF5vMRrHD1jdlloMladltESfQbjb8PtrHdzLnvfB7iF1nN2pX5InbDEgTlU2M1nZ8bLXIeOBDO_9B0,-
잠옷 콘텐츠조회4,https://www.facebook.com/ads/image/?d=AQJaFi51XDGTzsISZKtvhdKqDRw6l04FHN0uj1AT_N6lPd6QuQ8CXzApHRnLXmuQ8rX023ZXiGOINaBOpWAQCaukNO0q5UmRC7omYrExfIctNeImAJzbDA4aUMXdGpSLgd5eYNPm0HU5AHjPvV6eytgQ,-
잠옷 콘텐츠조회5,https://www.facebook.com/ads/image/?d=AQJSbYBN8x7LTVt5XZ1kwU8XxsRYWDRcgzczh0gP8eFgMJnUCli0hh8cuSaUs5WmBaztejT3cxeLTbt2oqBO14skHC5G-VcTVWF-G0qf2ak-H5sCujfvRXmCY3Sh3geW7RlsZqE0_XrQ8Q1rCqdkz9Vo,-
잠옷 콘텐츠조회5,https://www.facebook.com/ads/image/?d=AQJUo_cQuoTZCSpWjWj7dmOG9JSvCjA8fKmWm8io_0boyNf8_8nheTeEaWdkonpw6svpXsNLeTV-jqX9p4I_0DhHasPg6odilcXwxgr_WgnWxeK6OIBe428jO8J2HfZHmLhVhDucn_MvBrIgF-AC3f95,-
잠옷 콘텐츠조회5,https://www.facebook.com/ads/image/?d=AQKg4z2nCgE35iJcu8l1ZQtB3ZlW0cNlCuZ155NemiJ_kwwTQvot-xzXxOHEb0Jb5LftEZm-ummKGFFvyC_ziHqzfNcSQi56YfzogmEcKVwZETd8ZftcznGKIKKteQqE6GqV_h-kKw_N03CqFmp3dMlM,-
잠옷 콘텐츠조회6,https://www.facebook.com/ads/image/?d=AQI4NCzK2ByjuFvrf7-BT2_qKYbuTCYcb5Vd4srITdMaQUVKxlLn38a3woeRwnpyNDFjqU_UvG79uvzt8FodoFC5JEwyUw5d68ZnJ8VB3-I19g73R2DvnICpiqai3InMHpnjDj4QLDHgadmn5dyskztn,-
잠옷 콘텐츠조회6,https://www.facebook.com/ads/image/?d=AQIl2zcngwoGcfJfoDTC3kK97CVQcPSrsz6p_PWO_3Srwxc7cm72xuceWtvZut9OeGjVh-x1_NYtnbh3kEYN75Xl53ilpgcpqdgDiACjSqYw1g8zZ7KkEqR_020NEF8LYG7P1lJ1JoKO5oPK_hYufxNP,-
잠옷 콘텐츠조회6,https://www.facebook.com/ads/image/?d=AQLbQb9oLg5_iJO5UJoJczPaGUtihTHweVF8cC0WMMJzFGlh-u17sLmij2cf3NCv1oKyGiSNnJUUmCeqMjd1-0--R0Rr8dOiAnOFfGSta_BoonaJaollPuS9faUUevwL7q5cx-tq0hHD_IOGiVaWM2uA,-
토마토-이미지-말랑말랑발매트-정방형,https://www.facebook.com/ads/image/?d=AQIVzYKHxqFHCSC2eiABNAgWWykJXOMioaKhL5y-HymVpYuvVE9B9kgnSwQhBgKh0g4INUKwUP5uyzO_y7ZVXL0mzDD9wm7t8Z0kvMgJ0vbz_qZWT_O-o6nU4kKAsBgdw1aNuXcE-mivJ_9fXuGXWX8d,-
토마토-이미지-말랑말랑발매트-정방형,https://www.facebook.com/ads/image/?d=AQLTsyy5sK8K_QHBbfQ98PxDVY9EClaVaGjMwFP4QNlK3FdS8H7sIcqqBpf1wxRKnpjlGSP-GBKihiN4jMlkc4PvbkduM_e27bL9m2B8eFwF4YpQpyBX9MD2Gf3zPTFKNXL1XUlFJjydUyK0-sGIXjoB,-
토마토-이미지-매일뽀송하게,https://www.facebook.com/ads/image/?d=AQJrJ6SB3Incp1suLEJZZcnFXJSwhMf1FWFPU0dT6ezy2R_ps24xAUt5Uvf-1YtVT4IorDavE7pMGj0uIIStn1JohYDZUOfpOOUPV3EvB8c74bqljh0cO8P3cU0ZUOmJZ3W695RPEyfs-GOXknh-KsZs,-
토마토-이미지-매일뽀송하게,https://www.facebook.com/ads/image/?d=AQLi1PaEZXBnfDraVt_od1LKcQ4nsszFQkFqzp-eC_dA8rm5OO4b8tmlP_vM1d1js0gJFM4x5ybYSpAlDtcoSmyTJtnWiPTFJp1UkMUR5rQPuC-JQAmUzO_5ach5OE_atLXsREkYw3BGbRW_GWMEE04o,-
토마토-이미지-매일뽀송하게-수정,https://www.facebook.com/ads/image/?d=AQIAJFRSg7doDgBh4ZNkUFHp64fy7IVdLpMEUEUIGsouJE5ubTV3z72ejTN6DqZUAoFpOWTq86SGv0HIfG_CTThcNSNxZtYxKy8UyK00qJG9IGKjzcg_36TfMJ4eQxGgSMmdLsgODt7jOyiyrWLNHFPc,-
토마토-이미지-매일뽀송하게-수정,https://www.facebook.com/ads/image/?d=AQLi1PaEZXBnfDraVt_od1LKcQ4nsszFQkFqzp-eC_dA8rm5OO4b8tmlP_vM1d1js0gJFM4x5ybYSpAlDtcoSmyTJtnWiPTFJp1UkMUR5rQPuC-JQAmUzO_5ach5OE_atLXsREkYw3BGbRW_GWMEE04o,-
트래픽 데이지 이미지,https://www.facebook.com/ads/image/?d=AQI0-lncUj4rcUssX3CUNOtyods0s8ol7n35I4hTpvYlXxlfYk-F7hSBOpwJny97T49_xhzT90-vx8fkZboaPtuQijqFJxU5K-1zHKC-yDvVrKsoF0EsiTkBTtVdS4dDd574E5rk8OvIfWeA8Z3rYMSc,-
트래픽 데이지 이미지,https://www.facebook.com/ads/image/?d=AQKyU_FDJAahUS5eyZuhFRIV5pGevIAJTtnOTZuToYU5gHqnOWx8g_2k6FQefHtNed-BdZq5eM3SJgVKDCZBazaF8MzUik1nVrdU70hzZFT9lvwVjar6yK-rfdRTkZoeN_x9G0ekWgWGSy5G-_2KFdE_,-
트래픽 호랑이 파란이미지,https://www.facebook.com/ads/image/?d=AQI-7K5MNz9-E0nNBkW7kaUQ_Q3XqkFImf7SeaBsEItttJZpiALsukbqTG5ARLxX8l8NPtY3vZAnGB47JudVBjoFw5znlZE5jgWK2owBvYjQiO40ryMrUAiWU3Ftp_gAQjSd_47HU8hR3rWohpvSJUxo,-
호랑이-이미지-발사진,https://www.facebook.com/ads/image/?d=AQKNL2rLHsYx1vo1RuxjV2FVAYw6_fdFhCIVzOoXZWCKxRjcHwqqvecVi9jrKCEaTelite-srPaDxcT0ew0JA0clyUDSAbivfxGP_u8-0x66wdsLnnkvvRt64Fz0pnoZYkxCmv2R-AEyzWaTefjBDpcN,-
호랑이-이미지-발사진,https://www.facebook.com/ads/image/?d=AQKlI_ne0pJGeTXsAx-l3hE1YRGzk6YZjZf8iJUtp-8TgSFiyKLBHZGafutTuyGI5RY4cLEfgh9-QqsEmyu9P09fmLzEJbmnCpgdDyiQXn46SKSv1hgc-ddVf6l4t5ZKYkDLj6CuZw5vzRNcWuCaS4JL,-
호랑이-이미지-발사진,https://www.facebook.com/ads/image/?d=AQLsgGMdn1Vre9LNZ0vp5LOroDZQbG-rDu9jVgm1l9S-KW3-2aMGcKtBtHKmUaPH6z-oDD0JwFeRnMdsIBA2ipXSQT6-RTlWIP-HOM7oXOY8z30OTFMquzvDdurjyLwzYyYJLZ70eDlwBLMX8AG3MDTv,-
호랑이이미지 ㅇ - 1 - 사본,https://www.facebook.com/ads/image/?d=AQI-7K5MNz9-E0nNBkW7kaUQ_Q3XqkFImf7SeaBsEItttJZpiALsukbqTG5ARLxX8l8NPtY3vZAnGB47JudVBjoFw5znlZE5jgWK2owBvYjQiO40ryMrUAiWU3Ftp_gAQjSd_47HU8hR3rWohpvSJUxo,-
호랑이이미지3 - 사본,https://www.facebook.com/ads/image/?d=AQKNL2rLHsYx1vo1RuxjV2FVAYw6_fdFhCIVzOoXZWCKxRjcHwqqvecVi9jrKCEaTelite-srPaDxcT0ew0JA0clyUDSAbivfxGP_u8-0x66wdsLnnkvvRt64Fz0pnoZYkxCmv2R-AEyzWaTefjBDpcN,-
호랑이이미지3 - 사본,https://www.facebook.com/ads/image/?d=AQKlI_ne0pJGeTXsAx-l3hE1YRGzk6YZjZf8iJUtp-8TgSFiyKLBHZGafutTuyGI5RY4cLEfgh9-QqsEmyu9P09fmLzEJbmnCpgdDyiQXn46SKSv1hgc-ddVf6l4t5ZKYkDLj6CuZw5vzRNcWuCaS4JL,-
호랑이이미지3 - 사본,https://www.facebook.com/ads/image/?d=AQLsgGMdn1Vre9LNZ0vp5LOroDZQbG-rDu9jVgm1l9S-KW3-2aMGcKtBtHKmUaPH6z-oDD0JwFeRnMdsIBA2ipXSQT6-RTlWIP-HOM7oXOY8z30OTFMquzvDdurjyLwzYyYJLZ70eDlwBLMX8AG3MDTv,-
