월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상2,13.0,4.0,2.0,0.0,0.0,50.0,6.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.5,중,-0.46,중,-0.46,중,13.12,상,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상4,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상6,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상7,45187.0,16439.0,487.0,0.0,0.0,2.96,93.0,0.0,0.0,0.0,0.18,중,3.12,상,5.79,상,-0.46,중,-0.46,중,0.27,중,-0.8,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 영상8,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,호랑이 이미지,2522.0,644.0,32.0,0.0,0.0,4.97,79.0,0.0,0.0,0.0,-0.47,중,-0.35,중,-0.11,중,-0.46,중,-0.46,중,0.81,중,-0.82,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,중,-0.49,중,-0.52,중,-0.46,중,-0.46,중,-0.54,중,-0.91,중,-0.57,중,-0.38,중,-0.2,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동 데이지,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,65542.0,3562.0,63.0,1.0,29600.0,1.77,1040.0,65542.0,1.59,45.0,0.49,중,0.29,중,0.3,중,-0.21,중,-0.23,중,-0.06,중,0.35,중,4.53,상,-0.24,중,-0.15,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동 데이지,이미지 24-09-25 - 사본,25896.0,1548.0,17.0,3.0,77000.0,1.1,1523.0,8632.0,17.65,297.0,-0.12,중,-0.15,중,-0.3,중,0.28,중,0.13,중,-0.24,중,0.94,중,0.1,중,1.17,상,0.17,중
2025. 1. 1,2024. 12. 30,기타,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동_호랑이,이미지,137387.0,13516.0,251.0,4.0,107200.0,1.86,547.0,34347.0,1.59,78.0,1.59,상,2.48,상,2.73,상,0.53,중,0.37,중,-0.04,중,-0.25,중,2.11,상,-0.24,중,-0.11,중
