Day,funnel,Total users,New users,Returning users,New user %
2025-07-17,유입,948,275,673,29.008438818565402
2025-07-17,활동,427,0,427,0.0
2025-07-18,구매완료,1,0,1,0.0
2025-07-18,기타,359,0,359,0.0
2025-07-18,유입,851,248,603,29.142185663924796
2025-07-18,활동,379,0,379,0.0
2025-07-19,기타,356,0,356,0.0
2025-07-19,유입,871,259,612,29.73593570608496
2025-07-19,활동,391,0,391,0.0
2025-07-20,기타,385,0,385,0.0
2025-07-20,유입,954,285,669,29.874213836477985
2025-07-20,활동,404,0,404,0.0
2025-07-21,기타,424,0,424,0.0
2025-07-21,유입,1098,321,777,29.23497267759563
2025-07-21,활동,445,0,445,0.0
2025-07-22,구매완료,3,0,3,0.0
2025-07-22,기타,333,0,333,0.0
2025-07-22,유입,834,249,585,29.856115107913666
2025-07-22,활동,322,0,322,0.0
2025-07-23,구매완료,3,0,3,0.0
2025-07-23,기타,534,0,534,0.0
2025-07-23,유입,1151,346,805,30.06081668114683
2025-07-23,활동,511,0,511,0.0
2025-07-24,구매완료,5,0,5,0.0
2025-07-24,기타,447,0,447,0.0
2025-07-24,유입,927,272,655,29.341963322545844
2025-07-24,활동,431,0,431,0.0
2025-07-25,구매완료,3,0,3,0.0
2025-07-25,기타,411,0,411,0.0
2025-07-25,유입,970,296,674,30.515463917525775
2025-07-25,활동,384,0,384,0.0
2025-07-26,구매완료,1,0,1,0.0
2025-07-26,기타,377,0,377,0.0
2025-07-26,유입,942,282,660,29.936305732484076
2025-07-26,활동,364,0,364,0.0
2025-07-27,구매완료,2,0,2,0.0
2025-07-27,기타,387,0,387,0.0
2025-07-27,유입,991,303,688,30.57517658930373
2025-07-27,활동,382,0,382,0.0
2025-07-28,구매완료,9,0,9,0.0
2025-07-28,기타,617,0,617,0.0
2025-07-28,유입,1545,484,1061,31.326860841423947
2025-07-28,활동,599,0,599,0.0
2025-07-29,구매완료,9,0,9,0.0
2025-07-29,기타,1001,0,1001,0.0
2025-07-29,유입,2633,825,1808,31.333080136726167
2025-07-29,활동,986,0,986,0.0
2025-07-30,구매완료,7,0,7,0.0
2025-07-30,기타,912,0,912,0.0
2025-07-30,유입,2327,715,1612,30.726256983240223
2025-07-30,활동,922,0,922,0.0
2025-07-31,구매완료,7,0,7,0.0
2025-07-31,기타,612,0,612,0.0
2025-07-31,유입,1422,415,1007,29.184247538677923
2025-07-31,활동,594,0,594,0.0
2025-08-01,구매완료,6,0,6,0.0
2025-08-01,기타,498,0,498,0.0
2025-08-01,유입,1146,340,806,29.668411867364746
2025-08-01,활동,471,0,471,0.0
2025-08-02,기타,435,0,435,0.0
2025-08-02,유입,1049,304,745,28.97998093422307
2025-08-02,활동,435,0,435,0.0
2025-08-03,구매완료,3,0,3,0.0
2025-08-03,기타,581,0,581,0.0
2025-08-03,유입,1509,458,1051,30.35122597746852
2025-08-03,활동,566,0,566,0.0
2025-08-04,구매완료,14,0,14,0.0
2025-08-04,기타,1015,0,1015,0.0
2025-08-04,유입,2432,727,1705,29.893092105263158
2025-08-04,활동,944,0,944,0.0
2025-08-05,구매완료,2,0,2,0.0
