월,주,일,광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,성별_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_기프티콘,Male,구분필요,-,기타,기타,기타,1615,44,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Female,구분필요,-,기타,기타,기타,1228,97,1.0,0,0,0.0,0.0,1228.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Male,구분필요,-,기타,기타,기타,1852,91,5.0,0,0,0.0,0.0,370.4,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_테스트5,Unknown,구분필요,-,기타,기타,기타,115,5,2.0,0,0,0.0,0.0,57.5,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Female,구분필요,-,기타,기타,기타,596,21,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Male,구분필요,-,기타,기타,기타,844,34,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,4,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,1714,22,1.0,0,0,0.0,0.0,1714.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-03,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,5742,104,2.0,0,0,0.0,0.0,2871.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,2151,39,1.0,0,0,0.0,0.0,2151.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,5421,148,1.0,0,0,0.0,0.0,5421.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,27,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,Female,구분필요,-,기타,기타,기타,791,13,2.0,0,0,0.0,0.0,395.5,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,Male,구분필요,-,기타,기타,기타,3738,68,1.0,1,671875,17974.18405564473,3738.0,3738.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,9,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_기프티콘,Female,구분필요,-,기타,기타,기타,771,19,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_기프티콘,Male,구분필요,-,기타,기타,기타,3498,121,2.0,0,0,0.0,0.0,1749.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_기프티콘,Unknown,구분필요,-,기타,기타,기타,231,2,1.0,0,0,0.0,0.0,231.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Female,구분필요,-,기타,기타,기타,4742,426,18.0,0,0,0.0,0.0,263.44444444444446,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Male,구분필요,-,기타,기타,기타,5045,326,11.0,0,0,0.0,0.0,458.6363636363636,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_테스트5,Unknown,구분필요,-,기타,기타,기타,173,12,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Female,구분필요,-,기타,기타,기타,694,16,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Male,구분필요,-,기타,기타,기타,4097,77,2.0,0,0,0.0,0.0,2048.5,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,26,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,1845,36,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-04,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,5856,142,4.0,1,671875,11473.275273224044,5856.0,1464.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,9164,37,2.0,0,0,0.0,0.0,4582.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,5610,115,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,125,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Female,구분필요,-,기타,기타,기타,678,23,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Male,구분필요,-,기타,기타,기타,4884,109,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,28,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_기프티콘,Female,구분필요,-,기타,기타,기타,1052,16,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_기프티콘,Male,구분필요,-,기타,기타,기타,4362,97,1.0,0,0,0.0,0.0,4362.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_기프티콘,Unknown,구분필요,-,기타,기타,기타,56,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Female,구분필요,-,기타,기타,기타,6380,446,29.0,0,0,0.0,0.0,220.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Male,구분필요,-,기타,기타,기타,5520,336,15.0,0,0,0.0,0.0,368.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_테스트5,Unknown,구분필요,-,기타,기타,기타,204,12,1.0,0,0,0.0,0.0,204.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Female,구분필요,-,기타,기타,기타,726,19,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Male,구분필요,-,기타,기타,기타,5014,127,2.0,0,0,0.0,0.0,2507.0,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,11,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,5113,53,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,8546,167,3.0,1,671875,7861.865200093611,8546.0,2848.6666666666665,남성,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,[GM]241121_프라이싱_2_신디자인,Unknown,구분필요,-,기타,기타,기타,82,3,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,3683,36,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,5307,119,3.0,0,0,0.0,0.0,1769.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,93,5,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Female,구분필요,-,기타,기타,기타,1575,25,1.0,0,0,0.0,0.0,1575.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Male,구분필요,-,기타,기타,기타,5315,118,6.0,0,0,0.0,0.0,885.8333333333334,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,446,5,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Female,구분필요,-,기타,기타,기타,1689,26,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Male,구분필요,-,기타,기타,기타,3826,99,4.0,0,0,0.0,0.0,956.5,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Unknown,구분필요,-,기타,기타,기타,263,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Female,구분필요,-,기타,기타,기타,5986,329,13.0,0,0,0.0,0.0,460.46153846153845,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Male,구분필요,-,기타,기타,기타,4340,300,6.0,0,0,0.0,0.0,723.3333333333334,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Unknown,구분필요,-,기타,기타,기타,105,5,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Female,구분필요,-,기타,기타,기타,690,25,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Male,구분필요,-,기타,기타,기타,5120,129,1.0,0,0,0.0,0.0,5120.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Unknown,구분필요,-,기타,기타,기타,38,2,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,[GM]241121_프라이싱_2_신디자인,Female,구분필요,-,기타,기타,기타,3138,40,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,[GM]241121_프라이싱_2_신디자인,Male,구분필요,-,기타,기타,기타,8229,140,3.0,0,0,0.0,0.0,2743.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,241220_문어발전단지,Female,구분필요,-,기타,기타,기타,613,8,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,241220_문어발전단지,Male,구분필요,-,기타,기타,기타,1352,32,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,241220_문어발전단지,Unknown,구분필요,-,기타,기타,기타,50,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Female,구분필요,-,기타,기타,기타,1238,21,3.0,0,0,0.0,0.0,412.6666666666667,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Male,구분필요,-,기타,기타,기타,3190,73,0.0,0,0,0.0,0.0,0.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Unknown,구분필요,-,기타,기타,기타,10,1,0.0,0,0,0.0,0.0,0.0,알 수 없음,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Female,구분필요,-,기타,기타,기타,1871,21,0.0,0,0,0.0,0.0,0.0,여성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Male,구분필요,-,기타,기타,기타,4429,100,1.0,0,0,0.0,0.0,4429.0,남성,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Unknown,구분필요,-,기타,기타,기타,15,1,1.0,0,0,0.0,0.0,15.0,알 수 없음,전환
