월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,5730,143,2.0,0,0,0.0,0.0,2865.0,앱,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,250103_폴더영상,Mobile web,구분필요,-,기타,기타,기타,12,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,75,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2024-12-30/2025-01-05,2025-01-05,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,13666,221,3.0,1,671875,4916.398360895653,13666.0,4555.333333333333,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,982,8,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,8002,148,2.0,0,0,0.0,0.0,4001.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,241220_문어발전단지,Mobile web,구분필요,-,기타,기타,기타,99,4,1.0,0,0,0.0,0.0,99.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,1047,13,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,6275,134,7.0,0,0,0.0,0.0,896.4285714285714,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_검색기록,Mobile web,구분필요,-,기타,기타,기타,14,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,576,11,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,5186,114,4.0,0,0,0.0,0.0,1296.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,16,2,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Desktop,구분필요,-,기타,기타,기타,4,4,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Mobile app,구분필요,-,기타,기타,기타,10395,621,19.0,0,0,0.0,0.0,547.1052631578947,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_테스트5,Mobile web,구분필요,-,기타,기타,기타,32,9,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,92,11,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,5723,143,1.0,0,0,0.0,0.0,5723.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,250103_폴더영상,Mobile web,구분필요,-,기타,기타,기타,33,2,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,1151,11,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-06,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,10216,169,3.0,0,0,0.0,0.0,3405.3333333333335,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,241220_문어발전단지,Desktop,구분필요,-,기타,기타,기타,322,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,241220_문어발전단지,Mobile app,구분필요,-,기타,기타,기타,1693,39,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,306,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,4129,92,3.0,0,0,0.0,0.0,1376.3333333333333,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_검색기록,Mobile web,구분필요,-,기타,기타,기타,3,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,423,6,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,5879,115,2.0,0,0,0.0,0.0,2939.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,13,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_테스트5,Mobile app,구분필요,-,기타,기타,기타,5981,336,11.0,0,0,0.0,0.0,543.7272727272727,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_테스트5,Mobile web,구분필요,-,기타,기타,기타,12,5,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,4452,103,6.0,1,671875,15091.531895777178,4452.0,742.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,245,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,8293,169,3.0,0,0,0.0,0.0,2764.3333333333335,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-07,[GM]241121_프라이싱_2_신디자인,Mobile web,구분필요,-,기타,기타,기타,36,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,149,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,4726,93,2.0,0,0,0.0,0.0,2363.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,967,13,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,3884,89,4.0,0,0,0.0,0.0,971.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,132,3,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,5731,125,2.0,0,0,0.0,0.0,2865.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,250103_폴더영상,Mobile web,구분필요,-,기타,기타,기타,20,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,467,9,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,8914,139,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-08,[GM]241121_프라이싱_2_신디자인,Mobile web,구분필요,-,기타,기타,기타,98,3,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,6,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,4701,90,4.0,0,0,0.0,0.0,1175.25,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_검색기록,Mobile web,구분필요,-,기타,기타,기타,8,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,644,5,1.0,0,0,0.0,0.0,644.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,3795,83,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,19,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,16,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,4557,85,2.0,0,0,0.0,0.0,2278.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,37,4,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,8810,131,4.0,0,0,0.0,0.0,2202.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-09,[GM]241121_프라이싱_2_신디자인,Mobile web,구분필요,-,기타,기타,기타,33,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,42,1,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,4243,100,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_기프티콘,Desktop,구분필요,-,기타,기타,기타,181,4,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,4601,99,4.0,0,0,0.0,0.0,1150.25,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,15,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_폴더영상,Desktop,구분필요,-,기타,기타,기타,67,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250103_폴더영상,Mobile app,구분필요,-,기타,기타,기타,4351,132,2.0,0,0,0.0,0.0,2175.5,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,250110_테스트6,Mobile app,구분필요,-,기타,기타,기타,1366,84,1.0,0,0,0.0,0.0,1366.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,[GM]241121_프라이싱_2_신디자인,Desktop,구분필요,-,기타,기타,기타,482,4,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,[GM]241121_프라이싱_2_신디자인,Mobile app,구분필요,-,기타,기타,기타,9410,123,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-10,[GM]241121_프라이싱_2_신디자인,Mobile web,구분필요,-,기타,기타,기타,70,4,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-11,250103_검색기록,Desktop,구분필요,-,기타,기타,기타,281,2,0.0,0,0,0.0,0.0,0.0,웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-11,250103_검색기록,Mobile app,구분필요,-,기타,기타,기타,3456,95,2.0,0,0,0.0,0.0,1728.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-11,250103_검색기록,Mobile web,구분필요,-,기타,기타,기타,11,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
2025-01,2025-01-06/2025-01-12,2025-01-11,250103_기프티콘,Mobile app,구분필요,-,기타,기타,기타,3309,71,0.0,0,0,0.0,0.0,0.0,앱,전환
2025-01,2025-01-06/2025-01-12,2025-01-11,250103_기프티콘,Mobile web,구분필요,-,기타,기타,기타,9,1,0.0,0,0,0.0,0.0,0.0,모바일웹,전환
