월 구분,주 구분,브랜드명,상품명,프로모션,유형구분,일 구분,목표,캠페인,세트이름,비용,노출,클릭,전환수,전환값,ctr,cpc,cpa,cvr,roas,비용_zscore,비용_grade,노출_zscore,노출_grade,클릭_zscore,클릭_grade,전환수_zscore,전환수_grade,전환값_zscore,전환값_grade,ctr_zscore,ctr_grade,cpc_zscore,cpc_grade,cpa_zscore,cpa_grade,cvr_zscore,cvr_grade,roas_zscore,roas_grade
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-15,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,31260,2986,157,3,496800,5.26,199.0,10420.0,1.91,1589.0,2.27,상,2.6,상,2.06,상,2.1,상,2.19,상,0.26,중,-0.33,중,1.35,상,0.02,중,0.25,중
2025. 2. 1,2025. 2. 10,앳드맹,기타,파트너쉽,메타_전환,2025-02-16,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,35376,3291,192,4,663400,5.83,184.0,8844.0,2.08,1875.0,2.66,상,2.93,상,2.63,상,2.91,상,3.03,상,0.39,중,-0.37,중,1.09,상,0.03,중,0.32,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-17,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,32585,2743,128,2,331200,4.67,255.0,16292.0,1.56,1016.0,2.39,상,2.34,상,1.58,상,1.28,상,1.36,상,0.13,중,-0.2,중,2.31,상,-0.02,중,0.1,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-17,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,352,24,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.68,중,-0.57,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-17,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,2069,143,24,0,0,16.78,86.0,0.0,0.0,0.0,-0.51,중,-0.44,중,-0.12,중,-0.34,중,-0.31,중,2.88,상,-0.6,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-18,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,18197,1419,80,0,0,5.64,227.0,0.0,0.0,0.0,1.02,상,0.93,중,0.8,중,-0.34,중,-0.31,중,0.35,중,-0.27,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-18,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,251,19,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.68,중,-0.57,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-18,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,13470,933,89,5,833000,9.54,151.0,2694.0,5.62,6184.0,0.57,중,0.41,중,0.94,중,3.72,상,3.88,상,1.23,상,-0.44,중,0.09,중,0.35,중,1.44,상
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-19,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,17549,1399,105,4,666400,7.51,167.0,4387.0,3.81,3797.0,0.96,중,0.9,중,1.21,상,2.91,상,3.05,상,0.77,중,-0.41,중,0.37,중,0.19,중,0.82,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-19,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,115,8,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.7,중,-0.58,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-19,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,13428,859,81,2,225600,9.43,166.0,6714.0,2.47,1680.0,0.57,중,0.33,중,0.81,중,1.28,상,0.82,중,1.21,상,-0.41,중,0.75,중,0.07,중,0.27,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-20,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,18610,1766,74,0,0,4.19,251.0,0.0,0.0,0.0,1.06,상,1.3,상,0.7,중,-0.34,중,-0.31,중,0.02,중,-0.21,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-20,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,11942,937,62,5,773850,6.62,193.0,2388.0,8.06,6480.0,0.43,중,0.41,중,0.5,중,3.72,상,3.59,상,0.57,중,-0.34,중,0.04,중,0.57,중,1.52,상
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-21,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,17982,1582,88,5,833000,5.56,204.0,3596.0,5.68,4632.0,1.0,상,1.1,상,0.93,중,3.72,상,3.88,상,0.33,중,-0.32,중,0.24,중,0.36,중,1.04,상
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-21,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,203,15,1,0,0,6.67,203.0,0.0,0.0,0.0,-0.69,중,-0.57,중,-0.49,중,-0.34,중,-0.31,중,0.58,중,-0.32,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-21,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,11987,723,52,2,333200,7.19,231.0,5994.0,3.85,2780.0,0.43,중,0.18,중,0.34,중,1.28,상,1.37,상,0.7,중,-0.26,중,0.63,중,0.19,중,0.56,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-22,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,17261,1597,58,1,166600,3.63,298.0,17261.0,1.72,965.0,0.93,중,1.12,상,0.44,중,0.47,중,0.53,중,-0.11,중,-0.1,중,2.46,상,-0.0,중,0.09,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-22,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,136,12,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.7,중,-0.58,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-22,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,15168,1104,63,1,166600,5.71,241.0,15168.0,1.59,1098.0,0.73,중,0.59,중,0.52,중,0.47,중,0.53,중,0.37,중,-0.23,중,2.12,상,-0.01,중,0.12,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-23,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고,18066,1456,80,2,333200,5.49,226.0,9033.0,2.5,1844.0,1.01,상,0.97,중,0.8,중,1.28,상,1.37,상,0.32,중,-0.27,중,1.12,상,0.07,중,0.32,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-23,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 고구마님,11,2,0,0,0,0.0,0.0,0.0,0.0,0.0,-0.71,중,-0.59,중,-0.51,중,-0.34,중,-0.31,중,-0.93,중,-0.8,중,-0.35,중,-0.16,중,-0.16,중
2025. 2. 1,2025. 2. 17,앳드맹,기타,파트너쉽,메타_전환,2025-02-23,OUTCOME_SALES,파트너쉽 캠페인,파트너쉽광고 - 버블리,15998,1098,57,2,333200,5.19,281.0,7999.0,3.51,2083.0,0.81,중,0.58,중,0.42,중,1.28,상,1.37,상,0.25,중,-0.14,중,0.96,중,0.16,중,0.38,중
