월,주,일,광고세트,기기플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,기기플랫폼_통합,유형구분_통합
2025-11,2025-11-03/2025-11-09,2025-11-03,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.02,4,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.07,9,1,0,0.0,0.0,0.0,0.07,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,11.01,1073,24,1,67.06,609.0826521344233,11.01,0.45875,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,4,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,7.42,927,19,0,0.0,0.0,0.0,0.39052631578947367,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.14,9,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,12.53,1100,60,2,78.38,625.5387071029529,6.265,0.20883333333333332,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.02,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-04,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,1.79,240,13,0,0.0,0.0,0.0,0.1376923076923077,앱,트래픽
2025-11,2025-11-03/2025-11-09,2025-11-05,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.1,6,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.59,953,24,0,0.0,0.0,0.0,0.44125,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.16,3,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,8.7,1011,31,0,0.0,0.0,0.0,0.2806451612903226,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,메타-전환-안토메-25컬렉션-어드밴티지,Uncategorized,메타_전환,타겟팅,안토메,전제품,기타,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.01,1,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,9.28,830,41,0,0.0,0.0,0.0,0.22634146341463413,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.02,3,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-05,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,14.79,2448,196,0,0.0,0.0,0.0,0.07545918367346938,앱,트래픽
2025-11,2025-11-03/2025-11-09,2025-11-06,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,4.35,703,31,0,0.0,0.0,0.0,0.1403225806451613,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.05,4,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.0,1047,24,1,112.47,1124.7,10.0,0.4166666666666667,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,3,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.08,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,10.34,1201,25,0,0.0,0.0,0.0,0.41359999999999997,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.01,3,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,7.83,653,46,0,0.0,0.0,0.0,0.17021739130434782,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.02,5,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-06,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,7.24,1450,105,2,157.73,2178.5911602209944,3.62,0.06895238095238096,앱,트래픽
2025-11,2025-11-03/2025-11-09,2025-11-07,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,4.22,647,33,0,0.0,0.0,0.0,0.12787878787878787,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.27,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,10.08,934,32,1,74.17,735.813492063492,10.08,0.315,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25FW컬렉션-어드밴티지,Uncategorized,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.0,3,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,10.89,1156,34,1,113.86,1045.5463728191,10.89,0.32029411764705884,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,메타-전환-안토메-25컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,기타,0.01,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.05,6,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,7.9,760,46,0,0.0,0.0,0.0,0.17173913043478262,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.03,3,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-07,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,5.34,993,45,0,0.0,0.0,0.0,0.11866666666666667,앱,트래픽
2025-11,2025-11-03/2025-11-09,2025-11-08,리타겟팅,Mobile app,메타_트래픽,리타겟팅,기타,전제품,기타,3.12,506,21,0,0.0,0.0,0.0,0.14857142857142858,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25FW컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,1,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,8.16,799,20,1,73.61,902.0833333333334,8.16,0.40800000000000003,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25FW컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.02,3,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25FW컬렉션-어드밴티지,Uncategorized,메타_전환,타겟팅,안토메,전제품,25FW컬렉션,0.0,0,0,0,0.0,0.0,0.0,0.0,Uncategorized,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25컬렉션-어드밴티지,Desktop,메타_전환,타겟팅,안토메,전제품,기타,0.02,1,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25컬렉션-어드밴티지,Mobile app,메타_전환,타겟팅,안토메,전제품,기타,7.34,1000,32,2,156.79,2136.1035422343325,3.67,0.229375,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,메타-전환-안토메-25컬렉션-어드밴티지,Mobile web,메타_전환,타겟팅,안토메,전제품,기타,0.01,1,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,어드밴티지 설정,Desktop,메타_전환,타겟팅,기타,전제품,기타,0.02,2,0,0,0.0,0.0,0.0,0.0,웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,어드밴티지 설정,Mobile app,메타_전환,타겟팅,기타,전제품,기타,7.24,694,49,1,149.99,2071.685082872928,7.24,0.14775510204081632,앱,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,어드밴티지 설정,Mobile web,메타_전환,타겟팅,기타,전제품,기타,0.0,2,0,0,0.0,0.0,0.0,0.0,모바일웹,전환
2025-11,2025-11-03/2025-11-09,2025-11-08,추천 설정이 적용된 새로운 트래픽 광고 세트,Mobile app,메타_트래픽,타겟팅,기타,전제품,기타,7.16,1490,68,0,0.0,0.0,0.0,0.10529411764705883,앱,트래픽
