광고세트,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
1.브랜디드-주요키워드제외_PC_1위1000,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,275.0,36.0,5.0,0.0,0.0,0.0,0.0
1.브랜디드_주요키워드제외-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,20526.0,665.0,16.0,0.0,0.0,0.0,0.0
1.브랜디드_주요키워드제외-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,6501.0,2720.0,6.0,0.0,0.0,0.0,0.0
1.브랜디드_주요키워드제외-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,243001.0,3095.0,231.0,22.0,596310.0,245.39405187632974,11045.5
1.브랜디드_주요키워드제외-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,13882.0,123.0,9.0,4.0,255000.0,1836.911107909523,3470.5
1.브랜디드_주요키워드제외-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,2849.0,269.0,2.0,0.0,0.0,0.0,0.0
1.브랜디드_주요키워드제외-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,19679.0,390.0,15.0,2.0,103310.0,524.975862594644,9839.5
1.헤어필업_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,23881.0,3002.0,11.0,0.0,0.0,0.0,0.0
1.헤어필업_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,2816.0,6448.0,1.0,0.0,0.0,0.0,0.0
1.헤어필업_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,48928.0,7681.0,37.0,5.0,201690.0,412.21795291039894,9785.6
1.헤어필업_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,223.0,0.0,0.0,0.0,0.0,0.0
1.헤어필업_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,129.0,0.0,0.0,0.0,0.0,0.0
1.헤어필업_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,348.0,0.0,0.0,0.0,0.0,0.0
2. 트리트먼트-M,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,35849.0,698.0,6.0,0.0,0.0,0.0,0.0
2. 트리트먼트-M,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,105556.0,82863.0,20.0,0.0,0.0,0.0,0.0
2. 트리트먼트-M,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,193963.0,3657.0,45.0,5.0,109470.0,56.438599114264065,38792.6
2. 트리트먼트-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,4.0,0.0,0.0,0.0,0.0,0.0
2. 트리트먼트-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,17.0,0.0,0.0,0.0,0.0,0.0
2. 트리트먼트-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2.머리에센스-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,50050.0,1143.0,16.0,1.0,28800.0,57.54245754245755,50050.0
2.머리에센스-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,4056.0,0.0,0.0,0.0,0.0,0.0
2.머리에센스-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,79024.0,1939.0,25.0,0.0,0.0,0.0,0.0
2.머리에센스-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2.머리에센스-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
2.머리에센스-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2.제네릭-MO-스스 1위 1500,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,16951.0,3437.0,19.0,3.0,82320.0,485.6350657778302,5650.333333333333
2.제네릭-MO-스스 1위 1500,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,1903.0,301.0,3.0,0.0,0.0,0.0,0.0
2.제네릭-MO-스스 1위 1500,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,72721.0,7720.0,75.0,8.0,200320.0,275.4637587491921,9090.125
2.제네릭-PC-스스 1위 1000,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,5280.0,540.0,6.0,0.0,0.0,0.0,0.0
2.제네릭-PC-스스 1위 1000,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,913.0,177.0,1.0,0.0,0.0,0.0,0.0
2.제네릭-PC-스스 1위 1000,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,7601.0,572.0,9.0,0.0,0.0,0.0,0.0
2.제네릭-메인-MO-스스 3위 2200원,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,115632.0,13437.0,69.0,0.0,0.0,0.0,0.0
2.제네릭-메인-MO-스스 3위 2200원,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,49456.0,84749.0,34.0,0.0,0.0,0.0,0.0
2.제네릭-메인-MO-스스 3위 2200원,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,519145.0,37778.0,308.0,7.0,246010.0,47.38753142185709,74163.57142857143
2.제네릭-메인-PC-스스 4위 1500원,남성,네이버_파워링크,타겟팅,기존제품,기타,기타,7216.0,11538.0,6.0,0.0,0.0,0.0,0.0
2.제네릭-메인-PC-스스 4위 1500원,알 수 없음,네이버_파워링크,타겟팅,기존제품,기타,기타,11418.0,98997.0,10.0,0.0,0.0,0.0,0.0
2.제네릭-메인-PC-스스 4위 1500원,여성,네이버_파워링크,타겟팅,기존제품,기타,기타,29436.0,17817.0,21.0,2.0,85730.0,291.2420165783395,14718.0
2.지성두피-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,7007.0,630.0,5.0,1.0,54320.0,775.2247752247753,7007.0
2.지성두피-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,64086.0,5071.0,14.0,0.0,0.0,0.0,0.0
2.지성두피-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,55044.0,2311.0,12.0,0.0,0.0,0.0,0.0
2.지성두피-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,57.0,0.0,0.0,0.0,0.0,0.0
2.지성두피-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,1479.0,0.0,0.0,0.0,0.0,0.0
2.지성두피-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,1727.0,111.0,3.0,1.0,28000.0,1621.3086276780543,1727.0
2.케라틴_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,39.0,0.0,0.0,0.0,0.0,0.0
2.케라틴_MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,6.0,0.0,0.0,0.0,0.0,0.0
2.케라틴_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,330.0,223.0,1.0,0.0,0.0,0.0,0.0
2.케라틴_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,35.0,0.0,0.0,0.0,0.0,0.0
2.케라틴_PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,15.0,0.0,0.0,0.0,0.0,0.0
2.케라틴_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,330.0,80.0,1.0,0.0,0.0,0.0,0.0
2.폴리쉬오일-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,109978.0,3323.0,44.0,6.0,168000.0,152.75782429213115,18329.666666666668
2.폴리쉬오일-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,10307.0,353.0,4.0,0.0,0.0,0.0,0.0
2.폴리쉬오일-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,472307.0,8731.0,201.0,18.0,504780.0,106.87540095742811,26239.277777777777
2.폴리쉬오일-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,660.0,65.0,1.0,1.0,14200.0,2151.5151515151515,660.0
2.폴리쉬오일-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,1199.0,44.0,1.0,0.0,0.0,0.0,0.0
2.폴리쉬오일-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,198.0,80.0,1.0,0.0,0.0,0.0,0.0
3. 앰플 트리트먼트-M,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,3212.0,92.0,1.0,0.0,0.0,0.0,0.0
3. 앰플 트리트먼트-M,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,3189.0,0.0,0.0,0.0,0.0,0.0
3. 앰플 트리트먼트-M,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,33913.0,456.0,13.0,1.0,18000.0,53.07699112434759,33913.0
3. 앰플 트리트먼트-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,2475.0,17.0,1.0,0.0,0.0,0.0,0.0
3. 앰플 트리트먼트-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,116.0,0.0,0.0,0.0,0.0,0.0
3. 앰플 트리트먼트-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,7051.0,84.0,3.0,0.0,0.0,0.0,0.0
3.머리두피냄새-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,23540.0,669.0,10.0,1.0,27160.0,115.37807986406116,23540.0
3.머리두피냄새-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,14080.0,13483.0,6.0,0.0,0.0,0.0,0.0
3.머리두피냄새-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,37312.0,1950.0,20.0,1.0,56000.0,150.08576329331046,37312.0
3.머리두피냄새-PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,7414.0,376.0,3.0,0.0,0.0,0.0,0.0
3.머리두피냄새-PC,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,710.0,0.0,0.0,0.0,0.0,0.0
3.머리두피냄새-PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,13508.0,528.0,5.0,0.0,0.0,0.0,0.0
3.원더_MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3.원더_MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,330.0,23.0,1.0,0.0,0.0,0.0,0.0
3.원더_PC,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,6.0,0.0,0.0,0.0,0.0,0.0
3.원더_PC,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,10.0,0.0,0.0,0.0,0.0,0.0
3.웨트오일-MO,남성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,28600.0,890.0,11.0,1.0,28000.0,97.9020979020979,28600.0
3.웨트오일-MO,알 수 없음,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,0.0,125.0,0.0,0.0,0.0,0.0,0.0
3.웨트오일-MO,여성,네이버_쇼핑검색,타겟팅,기존제품,기타,기타,212267.0,3729.0,87.0,8.0,220640.0,103.94456038856723,26533.375
