광고세트,연령,성별,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
보냉백-패드하우스-1865,55-64,Female,메타_전환,타겟팅,기존제품,파우치,기타,28034.0,661,16.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,55-64,Male,메타_전환,타겟팅,기존제품,파우치,기타,2170.0,29,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,55-64,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,134.0,1,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,65+,Female,메타_전환,타겟팅,기존제품,파우치,기타,2307.0,40,3.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,65+,Male,메타_전환,타겟팅,기존제품,파우치,기타,14.0,2,0.0,0.0,0.0,0.0,0.0
보냉백-패드하우스-1865,65+,Unknown,메타_전환,타겟팅,기존제품,파우치,기타,10.0,1,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,18-24,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,6626.0,4443,24.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,18-24,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,2581.0,2216,4.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,18-24,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,51.0,56,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,25-34,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,13714.0,6021,36.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,25-34,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,6189.0,3548,19.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,25-34,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,42.0,29,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,35-44,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,12736.0,3498,44.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,35-44,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,3385.0,1430,9.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,35-44,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,81.0,24,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,45-54,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,8272.0,1583,37.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,45-54,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,1296.0,636,6.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,45-54,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,135.0,12,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,55-64,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,2787.0,514,8.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,55-64,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,339.0,228,3.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,55-64,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,1.0,3,0.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,65+,Female,메타_전환,타겟팅,기존제품,블랭킷,기타,627.0,177,5.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,65+,Male,메타_전환,타겟팅,기존제품,블랭킷,기타,350.0,140,3.0,0.0,0.0,0.0,0.0
블랭킷콘텐츠조회,Unknown,Unknown,메타_전환,타겟팅,기존제품,블랭킷,기타,1.0,1,0.0,0.0,0.0,0.0,0.0
