광고세트,플랫폼,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,링크클릭,전환수,전환값,ROAS,CPA
사라음성,Facebook,메타_전환,타겟팅,기존제품,기타,기타,984197.0,47927.0,644.0,39.0,1417800.0,144.0565252688232,25235.82051282051
사라음성,Instagram,메타_전환,타겟팅,기존제품,기타,기타,19510547.0,1133298.0,17607.0,1221.0,39615473.0,203.04644969718174,15979.153972153972
사라음성,Messenger,메타_전환,타겟팅,기존제품,기타,기타,2.0,4.0,0.0,0.0,0.0,0.0,0.0
사라음성,Uncategorized,메타_전환,타겟팅,기존제품,기타,기타,0.0,0.0,0.0,0.0,0.0,0.0,0.0
새 참여 광고 세트,Instagram,메타_도달,타겟팅,기존제품,기타,기타,235857.0,8553.0,6.0,0.0,0.0,0.0,0.0
쇼핑캠페인-러그_발매트_로브_룸슈즈,Google search,구분필요,리타겟팅,기존제품,발매트,기타,16320.0,1375.0,19.0,0.0,0.0,0.0,0.0
쇼핑캠페인-러그_발매트_로브_룸슈즈,Search partners,구분필요,리타겟팅,기존제품,발매트,기타,1133.0,2102.0,2.0,0.0,0.0,0.0,0.0
신제품-로브-1865,Audience Network,메타_전환,타겟팅,신제품,목욕가운,기타,427.0,36.0,10.0,0.0,0.0,0.0,0.0
신제품-로브-1865,Facebook,메타_전환,타겟팅,신제품,목욕가운,기타,19192.0,494.0,11.0,0.0,0.0,0.0,0.0
신제품-로브-1865,Instagram,메타_전환,타겟팅,신제품,목욕가운,기타,687954.0,24084.0,861.0,29.0,2080400.0,302.4039397983004,23722.55172413793
신제품-부클-1865,Audience Network,메타_전환,타겟팅,신제품,기타,기타,1577.0,104.0,22.0,0.0,0.0,0.0,0.0
신제품-부클-1865,Facebook,메타_전환,타겟팅,신제품,기타,기타,39358.0,997.0,37.0,4.0,233200.0,592.5097820011179,9839.5
신제품-부클-1865,Instagram,메타_전환,타겟팅,신제품,기타,기타,1335556.0,57213.0,1605.0,43.0,2201000.0,164.80027793667955,31059.441860465115
신제품-부클-1865,threads,메타_전환,타겟팅,신제품,기타,기타,2913.0,486.0,6.0,0.0,0.0,0.0,0.0
