브랜드명,상품명,프로모션,유형구분,날짜,목표,캠페인,광고세트,소재이름,비용,노출,클릭,전환수,전환값,타겟팅 구분
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상2,13,4,2,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상4,3,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상6,8,5,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상7,45187,16439,487,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상8,3,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-02,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 이미지,2522,644,32,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고 세트,새 판매 광고,0,0,0,0,0,리타겟팅
기존제품,발매트,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,65542,3562,63,1,29600,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,이미지 24-09-25 - 사본,25896,1548,17,3,77000,타겟팅
기존제품,호랑이러그,기타,메타_전환,2025-01-03,OUTCOME_SALES,수동_호랑이,새 판매 광고 세트,이미지,137387,13516,251,4,107200,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,307743,26585,422,23,547427,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 나경 자막 뿌꾸,4384,206,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 애기 더빙,305470,23738,318,18,595290,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 화이트톤 더빙,106302,6909,135,6,158560,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-09-25,10458,1184,10,2,35600,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25,3665,319,5,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -노랑,2323,208,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -초록,15669,1345,13,1,17800,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -파랑,8341,497,7,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 1,1,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 2,3,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 3,5,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상4,0,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지,34,7,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지 2,2,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상1,3,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상2,4,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상3,13,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상5,24,5,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상6,20,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상7,46592,15702,481,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상8,2,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-03,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 이미지,3516,800,36,0,0,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-04,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,75904,5277,103,8,256400,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-04,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,이미지 24-09-25 - 사본,24512,1680,34,3,108800,타겟팅
기존제품,호랑이러그,기타,메타_전환,2025-01-04,OUTCOME_SALES,수동_호랑이,새 판매 광고 세트,이미지,144777,16086,291,4,107000,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,316667,31481,392,22,635400,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 나경 자막 뿌꾸,3192,168,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 애기 더빙,255809,22913,294,26,739200,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 화이트톤 더빙,173557,12150,236,8,241000,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-09-25,8307,1008,7,2,60400,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25,8046,583,11,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -노랑,1823,142,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -초록,11205,1007,16,1,17800,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -파랑,7989,579,13,1,29600,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 1,12,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 영상 2,33,6,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지,36,16,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,네이쳐 이미지 2,13,4,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상1,6,3,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상2,58,3,1,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상3,2,1,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상4,6,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상5,7,4,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상6,6,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상7,52706,18601,557,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 영상8,8,2,0,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-04,OUTCOME_SALES,어드벤티지 콘텐츠조회 캠페인,어드벤티지 콘텐츠조회 광고 세트,호랑이 이미지,3422,875,35,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,24 크리스마스 연말 리타겟팅,새 판매 광고 세트,새 판매 광고,0,0,0,0,0,리타겟팅
기존제품,발매트,기타,메타_전환,2025-01-05,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본 - 사본,97478,6389,116,8,267200,타겟팅
기존제품,발매트,기타,메타_전환,2025-01-05,OUTCOME_SALES,수동 데이지,새 판매 광고 세트,이미지 24-09-25 - 사본,21870,1677,23,1,29600,타겟팅
기존제품,호랑이러그,기타,메타_전환,2025-01-05,OUTCOME_SALES,수동_호랑이,새 판매 광고 세트,이미지,155132,16525,361,6,182200,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 - 사본,400273,37969,528,26,642941,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 나경 자막 뿌꾸,2778,108,3,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 애기 더빙,243675,19106,254,15,474800,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,영상 화이트톤 더빙,173650,10212,216,13,482400,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-09-25,9929,1212,16,1,37600,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25,4839,345,4,0,0,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -노랑,1614,123,1,1,17800,타겟팅
기존제품,기타,기타,메타_전환,2025-01-05,OUTCOME_SALES,어드밴티지+ 쇼핑 메인 0506,어드밴티지+ 쇼핑 캠페인 2024-05-06 광고 세트,이미지 24-11-25 -초록,9059,913,7,0,0,타겟팅
