월,주,일,광고세트,연령,유형구분,타겟팅,브랜드명,상품명,프로모션,비용,노출,클릭,전환수,전환값,ROAS,CPA,CPC,연령_통합,유형구분_통합
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,18-24,구분필요,-,기타,기타,기타,238,6,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,25-34,구분필요,-,기타,기타,기타,2019,64,0.0,0,0,0.0,0.0,0.0,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,35-44,구분필요,-,기타,기타,기타,1354,40,1.0,0,0,0.0,0.0,1354.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,45-54,구분필요,-,기타,기타,기타,1603,21,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,55-64,구분필요,-,기타,기타,기타,261,7,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_메뉴판,65+,구분필요,-,기타,기타,기타,93,4,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,18-24,구분필요,-,기타,기타,기타,358,13,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,25-34,구분필요,-,기타,기타,기타,1402,51,3.0,0,0,0.0,0.0,467.3333333333333,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,35-44,구분필요,-,기타,기타,기타,2286,27,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,45-54,구분필요,-,기타,기타,기타,404,5,0.0,0,0,0.0,0.0,0.0,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,55-64,구분필요,-,기타,기타,기타,324,3,0.0,0,0,0.0,0.0,0.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_에어드롭,65+,구분필요,-,기타,기타,기타,311,4,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,18-24,구분필요,-,기타,기타,기타,352,42,0.0,0,0,0.0,0.0,0.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,25-34,구분필요,-,기타,기타,기타,1173,88,2.0,0,0,0.0,0.0,586.5,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,35-44,구분필요,-,기타,기타,기타,472,34,0.0,0,0,0.0,0.0,0.0,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,45-54,구분필요,-,기타,기타,기타,321,27,2.0,0,0,0.0,0.0,160.5,45세 ~ 54세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,55-64,구분필요,-,기타,기타,기타,648,28,1.0,0,0,0.0,0.0,648.0,55세 ~ 64세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,241227_테스트3,65+,구분필요,-,기타,기타,기타,394,18,0.0,0,0,0.0,0.0,0.0,65세 이상,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,18-24,구분필요,-,기타,기타,기타,536,25,1.0,0,0,0.0,0.0,536.0,19세 ~ 24세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,25-34,구분필요,-,기타,기타,기타,1738,60,8.0,0,0,0.0,0.0,217.25,25세 ~ 34세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,35-44,구분필요,-,기타,기타,기타,1599,61,4.0,0,0,0.0,0.0,399.75,35세 ~ 44세,전환
2025-01,2024-12-30/2025-01-05,2025-01-02,250102_테스트4 - 영상,45-54,구분필요,-,기타,기타,기타,1202,29,2.0,0,0,0.0,0.0,601.0,45세 ~ 54세,전환
